lundi	NOUN	lundi
,	PUNCT	,
plus	ADV	plus
de	ADP	de
1	NUM	1
500	NUM	500
foyers	NOUN	foyer
étaient	AUX	être
privés	VERB	priver
d’	DET	d’
électricité	NOUN	électricité
.	PUNCT	.
Polémique	PROPN	Polémique
sur	ADP	sur
le	DET	le
système	NOUN	système
d’	AUX	d’
alerte	NOUN	alerte
Le	DET	le
premier	ADJ	premier
ministre	NOUN	ministre
Edouard	PROPN	Edouard
Philippe	PROPN	Philippe
,	PUNCT	,
qui	PRON	qui
s’	PRON	s’
est	AUX	être
rendu	VERB	rendre
sur	ADP	sur
place	NOUN	place
,	PUNCT	,
a	AUX	avoir
estimé	VERB	estimer
que	SCONJ	que
cet	DET	ce
épisode	NOUN	épisode
météorologique	ADJ	météorologique
était	AUX	être
«	VERB	«
par	ADP	par
lui	PRON	lui
-	PUNCT	-
même	ADV	même
imprévisible	ADJ	imprévisible
»	PUNCT	»
.	PUNCT	.
Une	DET	un
manière	NOUN	manière
de	ADP	de
dégonfler	VERB	dégonfler
une	DET	un
polémique	NOUN	polémique
naissante	ADJ	naissant
:	PUNCT	:
des	DET	un
habitants	NOUN	habitant
se	PRON	se
plaignant	VERB	plaindre
d’	ADV	d’
avoir	AUX	avoir
été	AUX	être
mal	ADV	mal
informés	VERB	informer
de	ADP	de
l’	PRON	l’
intensité	NOUN	intensité
à	ADP	à
venir	VERB	venir
des	DET	un
orages	NOUN	orage
.	PUNCT	.
Le	DET	le
porte-parole	NOUN	porte-parole
du	DET	de
ministère	NOUN	ministère
de	ADP	de
l’	PROPN	l’
intérieur	ADJ	intérieur
,	PUNCT	,
Frédéric	PROPN	Frédéric
de	ADP	de
Lanouvelle	PROPN	Lanouvelle
,	PUNCT	,
a	AUX	avoir
,	PUNCT	,
lui	PRON	lui
,	PUNCT	,
évoqué	VERB	évoquer
«	PROPN	«
une	DET	un
fragilité	NOUN	fragilité
»	PUNCT	»
dans	ADP	dans
le	DET	le
système	NOUN	système
de	ADP	de
prévention	NOUN	prévention
de	ADP	de
Météo	NOUN	météo
France	PROPN	France
.	PUNCT	.
«	NOUN	«
La	DET	le
vigilance	NOUN	vigilance
orange	PROPN	orange
est	AUX	être
très	ADV	très
souvent	ADV	souvent
utilisée	VERB	utiliser
et	CCONJ	et
quand	SCONJ	quand
il	PRON	il
y	PRON	y
a	VERB	avoir
un	DET	un
vrai	ADJ	vrai
problème	NOUN	problème
,	PUNCT	,
les	DET	le
gens	NOUN	gens
n’	VERB	n’
en	ADP	en
tiennent	ADV	tiennent
plus	ADV	plus
compte	NOUN	compte
»	PUNCT	»
,	PUNCT	,
a		avoir
-t	PART	t
-il	PRON	il
souligné	VERB	souligner
.	PUNCT	.
A	AUX	avoir
Villegailhenc	PROPN	Villegailhenc
dans	ADP	dans
l’	PROPN	l’
Aude	NOUN	aude
,	PUNCT	,
le	DET	le
15	NUM	15
octobre	NOUN	octobre
.	PUNCT	.
«	PROPN	«
J’	PROPN	J’
ai	VERB	avoir
tout	DET	tout
perdu	VERB	perdre
,	PUNCT	,
ordinateur	NOUN	ordinateur
,	PUNCT	,
télé	NOUN	télé
,	PUNCT	,
les	DET	le
papiers	NOUN	papier
…	PRON	…
On	PRON	on
ne	ADV	ne
peut	VERB	pouvoir
plus	ADV	plus
habiter	VERB	habiter
ici	ADV	ici
.	PUNCT	.
Quel	DET	quel
carnage	NOUN	carnage
!	PUNCT	!
C’	ADP	c’
est	AUX	être
toutes	ADJ	tout
les	DET	le
maisons	NOUN	maison
de	ADP	de
la	DET	le
rue	NOUN	rue
qui	PRON	qui
sont	AUX	être
comme	ADP	comme
ça	PRON	cela
.	PUNCT	.
On	PRON	on
ne	ADV	ne
s’	ADV	s’
attendait	VERB	attendre
pas	ADV	pas
à	ADP	à
ça	PRON	cela
,	PUNCT	,
avec	ADP	avec
la	DET	le
vigilance	NOUN	vigilance
orange	ADJ	orange
.	PUNCT	.
Ça	PRON	cela
ne	ADV	ne
veut	VERB	vouloir
rien	PRON	rien
dire	VERB	dire
vigilance	NOUN	vigilance
orange	PROPN	orange
!	PUNCT	!
»	PUNCT	»
,	PUNCT	,
s’	PRON	s’
est	AUX	être
ainsi	ADV	ainsi
emporté	VERB	emporter
un	DET	un
habitant	NOUN	habitant
de	ADP	de
Villegailhenc	PROPN	Villegailhenc
,	PUNCT	,
âgé	ADJ	âgé
d’	CCONJ	d’
une	DET	un
trentaine	NOUN	trentaine
d’	DET	d’
années	NOUN	année
.	PUNCT	.
Trois	NUM	Trois
mois	NOUN	mois
de	ADP	de
pluie	NOUN	pluie
en	ADP	en
quelques	DET	quelque
heures	NOUN	heure
Cet	DET	ce
«	NOUN	«
épisode	PROPN	épisode
méditerranéen	ADJ	méditerranéen
de	ADP	de
type	NOUN	type
cévenol	ADJ	cévenol
»	PUNCT	»
,	PUNCT	,
qui	PRON	qui
figure	VERB	figure
parmi	ADP	parmi
les	DET	le
intempéries	NOUN	intempérie
les	DET	le
plus	ADV	plus
meurtrières	ADJ	meurtrier
dans	ADP	dans
l’	PRON	l’
Hexagone	NOUN	hexagone
depuis	ADP	depuis
une	DET	un
dizaine	NOUN	dizaine
d’	PRON	d’
années	NOUN	année
,	PUNCT	,
a	AUX	avoir
par	ADP	par
ailleurs	NOUN	ailleurs
fait	NOUN	fait
huit	NUM	huit
blessés	NOUN	blessé
graves	ADJ	grave
et	CCONJ	et
deux	NUM	deux
personnes	NOUN	personne
disparues	ADJ	disparu
.	PUNCT	.
Lire	VERB	lire
aussi	ADV	aussi
:	PUNCT	:
  	SPACE	  
Les	DET	le
«	NOUN	«
épisodes	ADJ	épisode
méditerranéens	ADJ	méditerranéen
»	PUNCT	»
seront	VERB	être
de	ADP	de
plus	ADV	plus
en	ADP	en
plus	ADV	plus
intenses	ADJ	intense
Il	PRON	il
est	AUX	être
tombé	VERB	tomber
en	ADP	en
quelques	DET	quelque
heures	NOUN	heure
l’	VERB	l’
équivalent	ADV	équivalent
de	ADP	de
trois	NUM	trois
mois	NOUN	mois
de	ADP	de
pluie	NOUN	pluie
.	PUNCT	.
Selon	ADP	selon
Météo	NOUN	météo
France	PROPN	France
,	PUNCT	,
l’	X	l’
agglomération	NOUN	agglomération
de	ADP	de
Carcassonne	PROPN	Carcassonne
a	AUX	avoir
reçu	VERB	recevoir
en	ADP	en
l’	ADJ	l’
espace	NOUN	espace
de	ADP	de
cinq	NUM	cinq
heures	NOUN	heure
,	PUNCT	,
entre	ADP	entre
150	NUM	150
mm	NOUN	millimètre
et	CCONJ	et
300	NUM	300
mm	NOUN	millimètre
d’	DET	d’
eau	NOUN	eau
.	PUNCT	.
«	NOUN	«
Près	ADP	près
de	ADP	de
1	PRON	1
000	NUM	000
personnes	NOUN	personne
ont	AUX	avoir
été	AUX	être
évacuées	VERB	évacuer
et	CCONJ	et
environ	ADV	environ
250	NUM	250
sont	AUX	être
toujours	ADV	toujours
prises	VERB	prendre
en	ADP	en
charge	NOUN	charge
dans	ADP	dans
les	DET	le
centres	NOUN	centre
d’	VERB	d’
hébergement	ADV	hébergement
ouverts	VERB	ouvrir
par	ADP	par
certaines	DET	certain
communes	NOUN	commune
»	PUNCT	»
,	PUNCT	,
a	AUX	avoir
détaillé	VERB	détailler
la	DET	le
préfecture	NOUN	préfecture
.	PUNCT	.
A	AUX	avoir
Coursan	PROPN	Coursan
,	PUNCT	,
commune	NOUN	commune
de	ADP	de
6	NUM	6
000	NUM	000
habitants	NOUN	habitant
,	PUNCT	,
près	ADP	près
de	ADP	de
Narbonne	PROPN	Narbonne
,	PUNCT	,
quelque	ADV	quelque
350	NUM	350
habitants	NOUN	habitant
de	ADP	de
la	DET	le
rive	NOUN	rive
gauche	NOUN	gauche
de	ADP	de
l’	PROPN	l’
Aude	NOUN	aude
,	PUNCT	,
le	DET	le
secteur	NOUN	secteur
le	DET	le
plus	ADV	plus
exposé	NOUN	exposé
,	PUNCT	,
ont	AUX	avoir
été	AUX	être
prévenus	VERB	prévenir
des	DET	un
risques	NOUN	risque
d’	VERB	d’
inondations	NOUN	inondation
par	ADP	par
les	DET	le
élus	NOUN	élu
et	CCONJ	et
la	DET	le
police	NOUN	police
municipale	ADJ	municipal
.	PUNCT	.
Ces	DET	ce
derniers	ADJ	dernier
ont	AUX	avoir
été	AUX	être
évacués	VERB	évacuer
ou	CCONJ	ou
priés	VERB	prier
de	ADP	de
gagner	VERB	gagner
les	DET	le
étages	NOUN	étage
avec	ADP	avec
téléphone	NOUN	téléphone
portable	ADJ	portable
,	PUNCT	,
couvertures	NOUN	couverture
et	CCONJ	et
de	ADP	de
quoi	PRON	quoi
s’	PRON	s’
alimenter	VERB	alimenter
,	PUNCT	,
a	AUX	avoir
expliqué	VERB	expliquer
à	ADP	à
l’	PROPN	l’
Agence	PROPN	Agence
France	PROPN	France
-	PUNCT	-
Presse	VERB	presse
le	DET	le
maire	NOUN	maire
,	PUNCT	,
Edouard	PROPN	Edouard
Rocher	PROPN	Rocher
.	PUNCT	.
Le	DET	le
fleuve	NOUN	fleuve
est	AUX	être
monté	VERB	monter
entre	ADP	entre
8	NUM	8
heures	NOUN	heure
et	CCONJ	et
14	NUM	14
heures	NOUN	heure
,	PUNCT	,
lundi	NOUN	lundi
,	PUNCT	,
d’	ADP	d’
un	DET	un
centimètre	NOUN	centimètre
toutes	ADJ	tout
les	DET	le
minutes	NOUN	minute
,	PUNCT	,
son	DET	son
niveau	NOUN	niveau
passant	VERB	passer
d’	ADJ	d’
un	DET	un
mètre	NOUN	mètre
à	ADP	à
huit	NUM	huit
mètres	NOUN	mètre
dans	ADP	dans
l’	PROPN	l’
après	ADP	après
-	PUNCT	-
midi	NOUN	midi
.	PUNCT	.
«	PROPN	«
Procédure	NOUN	procédure
de	ADP	de
catastrophe	NOUN	catastrophe
naturelle	ADJ	naturel
accélérée	VERB	accélérer
»	PUNCT	»
De	DET	de
nombreuses	ADJ	nombreux
routes	NOUN	route
étant	AUX	être
coupées	VERB	couper
,	PUNCT	,
plusieurs	DET	plusieurs
habitants	NOUN	habitant
ont	AUX	avoir
été	AUX	être
secourus	VERB	secourir
par	ADP	par
hélitreuillage	NOUN	hélitreuillage
.	PUNCT	.
Quatre	NUM	Quatre
communes	NOUN	commune
ont	AUX	avoir
été	AUX	être
évacuées	VERB	évacuer
:	PUNCT	:
Pezens	NOUN	pezen
,	PUNCT	,
Trèbes	NOUN	trèbe
,	PUNCT	,
Villegailhenc	PROPN	Villegailhenc
et	CCONJ	et
Villemoustaussou	PROPN	Villemoustaussou
.	PUNCT	.
A	ADP	à
Pezens	VERB	pezens
,	PUNCT	,
les	DET	le
résidents	NOUN	résident
ont	AUX	avoir
pu	AUX	pouvoir
regagner	VERB	regagner
leur	DET	leur
domicile	NOUN	domicile
.	PUNCT	.
Dans	ADP	dans
la	DET	le
salle	NOUN	salle
des	DET	un
fêtes	NOUN	fête
de	ADP	de
Trèbes	PROPN	Trèbes
,	PUNCT	,
une	DET	un
centaine	NOUN	centaine
de	ADP	de
naufragés	ADJ	naufragé
étaient	AUX	être
lundi	VERB	lundi
sous	ADP	sous
le	DET	le
choc	NOUN	choc
,	PUNCT	,
les	DET	le
yeux	NOUN	oeil
dans	ADP	dans
le	DET	le
vague	NOUN	vague
,	PUNCT	,
après	ADP	après
avoir	AUX	avoir
«	VERB	«
tout	DET	tout
perdu	VERB	perdre
»	PUNCT	»
.	PUNCT	.
«	NOUN	«
J’	PROPN	J’
ai	AUX	avoir
vu	VERB	voir
ma	DET	mon
grand-mère	NOUN	grand-mère
dans	ADP	dans
son	DET	son
lit	NOUN	lit
flotter	VERB	flotter
sur	ADP	sur
l’	PROPN	l’
eau	NOUN	eau
»	PUNCT	»
,	PUNCT	,
témoigne	VERB	témoigne
Pierre	PROPN	Pierre
,	PUNCT	,
l’	PROPN	l’
air	NOUN	air
hagard	ADJ	hagard
.	PUNCT	.
Il	PRON	il
ne	ADV	ne
sait	VERB	savoir
toujours	ADV	toujours
pas	ADV	pas
si	SCONJ	si
cette	DET	ce
femme	NOUN	femme
grabataire	ADJ	grabataire
de	ADP	de
97	NUM	97
ans	NOUN	an
a	AUX	avoir
survécu	VERB	survivre
.	PUNCT	.
Dans	ADP	dans
la	DET	le
région	NOUN	région
de	ADP	de
Carcassonne	PROPN	Carcassonne
,	PUNCT	,
les	DET	le
champs	NOUN	champ
sont	AUX	être
inondés	VERB	inonder
,	PUNCT	,
plusieurs	DET	plusieurs
chaussées	NOUN	chaussée
détruites	ADJ	détruire
ou	CCONJ	ou
impraticables	ADJ	impraticable
avec	ADP	avec
des	DET	un
arbres	NOUN	arbre
tombés	VERB	tomber
sur	ADP	sur
les	DET	le
routes	NOUN	route
.	PUNCT	.
Des	DET	un
torrents	NOUN	torrent
d’	DET	d’
eau	NOUN	eau
boueuse	ADJ	boueux
enjambent	VERB	enjamber
la	DET	le
chaussée	NOUN	chaussée
,	PUNCT	,
les	DET	le
cours	NOUN	cours
d’	DET	d’
eau	NOUN	eau
débordent	ADV	débordent
.	PUNCT	.
Des	DET	un
véhicules	NOUN	véhicule
ont	AUX	avoir
été	AUX	être
emportés	VERB	emporter
par	ADP	par
les	DET	le
flots	NOUN	flot
.	PUNCT	.
Le	DET	le
chef	NOUN	chef
du	DET	de
gouvernement	NOUN	gouvernement
,	PUNCT	,
accompagné	VERB	accompagner
du	DET	de
ministre	NOUN	ministre
de	ADP	de
la	DET	le
transition	NOUN	transition
écologique	ADJ	écologique
et	CCONJ	et
solidaire	ADJ	solidaire
,	PUNCT	,
François	PROPN	François
de	ADP	de
Rugy	PROPN	Rugy
,	PUNCT	,
a	AUX	avoir
annoncé	VERB	annoncer
une	DET	un
«	NOUN	«
procédure	ADJ	procédur
de	ADP	de
catastrophe	NOUN	catastrophe
naturelle	ADJ	naturel
accélérée	VERB	accélérer
»	PUNCT	»
.	PUNCT	.
Le	DET	le
président	NOUN	président
de	ADP	de
la	DET	le
République	NOUN	république
,	PUNCT	,
Emmanuel	ADJ	emmanuel
Macron	ADV	macron
,	PUNCT	,
qui	PRON	qui
se	PRON	se
rendra	VERB	rendre
dans	ADP	dans
l’	DET	l’
Aude	NOUN	aude
«	PUNCT	«
dès	ADP	dès
que	SCONJ	que
possible	ADJ	possible
»	PUNCT	»
selon	ADP	selon
l’	PROPN	l’
Elysée	PROPN	Elysée
,	PUNCT	,
a	AUX	avoir
exprimé	VERB	exprimer
«	PROPN	«
l’	NOUN	l’
émotion	NOUN	émotion
et	CCONJ	et
la	DET	le
solidarité	NOUN	solidarité
de	ADP	de
toute	ADJ	tout
la	DET	le
nation	NOUN	nation
envers	ADP	envers
les	DET	le
victimes	NOUN	victime
»	PUNCT	»
.	PUNCT	.
Un	DET	un
résident	NOUN	résident
montre	VERB	montre
le	DET	le
niveau	NOUN	niveau
atteint	VERB	atteindre
par	ADP	par
l’	PROPN	l’
eau	NOUN	eau
lors	ADV	lors
des	DET	un
inondations	NOUN	inondation
à	ADP	à
Villegailhenc	PROPN	Villegailhenc
,	PUNCT	,
près	ADP	près
de	ADP	de
Carcassonne	NOUN	carcassonne
,	PUNCT	,
dans	ADP	dans
le	DET	le
sud	NOUN	sud
de	ADP	de
la	DET	le
France	PROPN	France
.	PUNCT	.
Le	DET	le
niveau	NOUN	niveau
atteint	AUX	atteint
lundi	NOUN	lundi
matin	NOUN	matin
par	ADP	par
la	DET	le
crue	NOUN	crue
à	ADP	à
Trèbes	PROPN	Trèbes
,	PUNCT	,
dans	ADP	dans
la	DET	le
vallée	NOUN	vallée
de	ADP	de
l’	DET	l’
Aude	NOUN	aude
,	PUNCT	,
est	AUX	être
sans	ADP	sans
précédent	NOUN	précédent
depuis	ADP	depuis
1891	NUM	1891
,	PUNCT	,
c’	PROPN	c’
est	AUX	être
-	PUNCT	-
à	ADP	à
-	PUNCT	-
dire	VERB	dire
«	PROPN	«
pas	ADV	pas
loin	ADV	loin
de	ADP	de
sept	NUM	sept
mètres	NOUN	mètre
»	PUNCT	»
,	PUNCT	,
a	AUX	avoir
déclaré	VERB	déclarer
à	ADP	à
l’	PROPN	l’
AFP	PROPN	AFP
le	DET	le
service	NOUN	service
Vigicrues	ADJ	vigicrue
.	PUNCT	.
ERIC	VERB	eric
CABANIS	PRON	cabanis
/	CCONJ	/
AFP	PROPN	AFP
